bioproject_id,source,study_title,study_type,study_type_curation,target,target_curation,target_class,target_class_curation,chemistry,chemistry_curation,n_random,n_random_curation,n_rounds,n_rounds_curation,selection_format,selection_format_curation,counter_selection,counter_selection_curation
PRJNA321551,ena,Raw sequence reads from CELL-SELEX experiment targeting CCR7 (9 rounds of selection),aptamer_selection,concordant,CCR7 (C-C chemokine receptor type 7),concordant,whole cells (HeLa cells expressing the CCR7 surface receptor),concordant,RNA,concordant,30-nt,concordant,9 selection cycles,concordant,cell-SELEX (Cell-based SELEX),concordant,present,concordant
PRJNA360902,ena,Ciona robusta SELEX-seq dataset,tf_ht_selex,concordant,ELK1/3/4 and GATA4/5/6 transcription factor DNA-binding domains (Ciona robusta),concordant,transcription factor DNA-binding domain,concordant,DNA (synthetic double-stranded oligonucleotides),single_source:claude,20 bases,single_source:claude,7 rounds,concordant,HT-SELEX (high-throughput SELEX-seq),concordant,,not_stated
PRJNA379022,ena,Androgen and glucocorticoid receptor SELEX-seq libraries,tf_ht_selex,concordant,androgen receptor (AR) and glucocorticoid receptor (GR) DNA-binding domains,concordant,transcription factor DNA-binding domain (steroid hormone receptor),concordant,double-stranded DNA,single_source:claude,23 bp,concordant,eight rounds,concordant,SELEX-seq (EMSA-based gel shift selection),concordant,,not_stated
PRJNA385825,ena,Natural RNA polymerase aptamers regulate transcription in E. coli [SELEX],aptamer_selection,concordant,E. coli RNA polymerase (RNAP) holoenzyme,concordant,bacterial RNA polymerase,concordant,RNA (from E. coli genomic library),concordant,,not_stated,7 cycles,concordant,genomic SELEX,concordant,,not_stated
PRJNA450989,ena,RNA aptamers specific for IL4-treated MSC2 cell line,aptamer_selection,concordant,IL4-treated MSC2 cells (MDSC-derived cell line as TIMC surrogate),concordant,whole cells (MDSC-derived myeloid cell line),concordant,RNA,concordant,40 bp,concordant,11 cycles,concordant,high-throughput sequencing Cell-SELEX,concordant,present,concordant
PRJNA474677,ena,LIN28 selectively modulates a subclass of let-7 microRNAs,aptamer_selection,adjudicated,"LIN28A cold shock domain (CSD, aa 1–120) with N-terminal FLAG-HA tag",concordant,RNA-binding protein (cold shock domain),concordant,RNA,concordant,8 nt,concordant,2 rounds,concordant,RNA Bind-and-Seq (RBNS),concordant,,not_stated
PRJNA480721,ena,Highly-functionalized nucleic acid polymer selections,aptamer_selection,concordant,PCSK9 (proprotein convertase subtilisin/kexin type 9) and IL-6 (interleukin-6),concordant,protein,concordant,highly functionalized nucleic acid polymers (HFNAPs) with diverse side chains on a DNA backbone,concordant,15 positions (15 consecutive NNR codons),concordant,up to 12 rounds (PCSK9); 7 rounds (IL-6),concordant,in vitro selection using bead-immobilized protein (SELEX),concordant,present,single_source:claude
PRJNA491840,ena,A co-evolving active site network regulates cleavage preference in LAGLIDADG homing endonucleases,method_or_other,concordant,"LAGLIDADG homing endonucleases (I-LtrI, I-OnuI meganuclease variants)",adjudicated,protein (enzyme / homing endonuclease),adjudicated,DNA (synthetic substrate library and meganuclease variant library),concordant,4 central bases (67 substrates with central 4 base substitutions),single_source:claude,,not_stated,bacterial two-plasmid functional selection with deep sequencing,concordant,,not_stated
PRJNA529538,ena,In vitro isolation of class-specific oligonucleotide-based small-molecule receptors,aptamer_selection,concordant,"synthetic cathinones (ethylone, butylone, and alpha-pyrrolidinopentiophenone/α-PVP)",concordant,small molecule (synthetic cathinone designer drugs),concordant,DNA (single-stranded),concordant,30 nt,concordant,5–9 rounds of parallel selection + 2 cycles of serial selection,concordant,parallel-and-serial SELEX (novel class-specific aptamer isolation strategy),concordant,present,concordant
PRJNA531690,ena,Libraries of single-stranded oligodeoxynucleotides enriched for binding to exosomes from VCaP prostate cancer cells,aptamer_selection,concordant,exosomes from VCaP prostate cancer cells,concordant,exosomes (extracellular vesicles from prostate cancer cells),concordant,"DNA (single-stranded oligodeoxynucleotides, ssODNs)",concordant,35 nt,concordant,five rounds,concordant,"ADAPT (adaptive dynamic artificial polyligand targeting), a variant of SELEX",concordant,present,concordant
PRJNA547810,ena,Systematic profiling of in vitro binding affinity and endonuclease activity of CRISPR enzymes,tf_ht_selex,adjudicated,"SpCas9, HiFi-SpCas9, ScCas9, AsCas12a (Cpf1), DpbCasX",adjudicated,RNA-guided endonucleases (RGEs),concordant,double-stranded DNA (dsDNA),concordant,30-bp randomized region (SELEX-seq); randomized 4-mer regions per sub-library (Spec-seq),concordant,Five rounds (SELEX-seq); single round (Spec-seq),concordant,Spec-seq; SEAM-seq; SELEX-seq,concordant,,not_stated
PRJNA564266,ena,ssDNA aptamers targeting Salmonella paratyphi A [SELEX],aptamer_selection,concordant,Salmonella paratyphi A,concordant,whole cells,concordant,ssDNA,concordant,,not_stated,,not_stated,whole-cell SELEX,concordant,,not_stated
PRJNA600132,ena,Preferred nucleosomal sequences enriched by NGS-SELEX,tf_ht_selex,adjudicated,"recombinant histone octamers from H. sapiens, P. falciparum, E. cuniculi",concordant,histone octamer,concordant,mononucleosomal genomic DNA (dsDNA) from HEK293 cells,concordant,,not_stated,,not_stated,NGS-SELEX,concordant,,not_stated
PRJNA604410,ena,SELEX and ChIP/CLIP-Seq identification of nucleic acid sequences bound by the DDX43 KH domain (89 aa),tf_ht_selex,adjudicated,DDX43-KH-89 (KH domain of DDX43 helicase),concordant,protein,concordant,ssDNA,concordant,20-nt random sequence,single_source:claude,six rounds,single_source:claude,"SELEX (in vitro, Ni-NTA affinity bead-based)",concordant,,not_stated
PRJNA609240,ena,SELEX sequencing to study DNA-binding profile of the floral homeotic MADS-domain protein SEPALLATA3,tf_ht_selex,concordant,"SEPALLATA3 (SEP3) and mutant variants SEP3R3A, SEP3R3K",concordant,transcription factor,concordant,dsDNA,concordant,25 bp,concordant,four rounds,concordant,SELEX-seq (EMSA gel-shift based),concordant,,not_stated
PRJNA615076,ena,HT-SELEX against E. faecalis,aptamer_selection,concordant,Enterococcus faecalis,concordant,whole cells,concordant,ssDNA,single_source:claude,,not_stated,11 consecutive rounds,single_source:claude,whole-cell SELEX (HT-SELEX),concordant,,not_stated
PRJNA616423,ena,RNA polymerase II-binding aptamers in human ACRO1 satellites disrupt transcription in cis,aptamer_selection,concordant,"RNA Polymerase II (yeast Pol II 12-subunit complex, used as surrogate for human Pol II)",concordant,RNA polymerase,concordant,RNA (transcribed from human genomic DNA),concordant,,not_stated,7 cycles,concordant,Genomic SELEX,concordant,,not_stated
PRJNA633039,ena,Structure of SRSF1 RRM1 bound to RNA reveals an unexpected pendular/bimodal mode of interaction and explains its involvement in SMN1 exon7 splicing,aptamer_selection,adjudicated,SRSF1 (RRM1 domain),concordant,RNA-binding protein,concordant,RNA (synthetic),concordant,,not_stated,6 rounds,single_source:claude,SELEX-seq,concordant,,not_stated
PRJNA672779,ena,Machine-learning-guided aptamer discovery,aptamer_selection,concordant,NGAL (Neutrophil Gelatinase-Associated Lipocalin),concordant,protein,concordant,DNA,concordant,40-mer random region,single_source:codex,two rounds,single_source:codex,particle display,concordant,,not_stated
PRJNA688234,ena,Coagulation Factor XIII-Binding Aptamers as Bivalent Ligands Targeting Fibrin and Activated Platelets in the Thrombus,aptamer_selection,concordant,semi-activated Factor XIII (FXIII'),concordant,protein,concordant,ssDNA,concordant,,not_stated,,not_stated,SELEX,concordant,,not_stated
PRJNA728693,ena,RE-SELEX: Restriction Enzyme-Based Evolution of Structure-Switching Aptamer Biosensors,aptamer_selection,concordant,kanamycin A,single_source:claude,small molecule,single_source:claude,ssDNA,single_source:claude,,not_stated,eleven rounds,single_source:claude,RE-SELEX (restriction enzyme SELEX),concordant,present,single_source:claude
PRJNA729962,ena,DNA protein interactome for Nuclear Receptor proteins,tf_ht_selex,concordant,"full-length human nuclear receptors (including HNF4A, EAR2, COUP-TF2, GR, SF1 and others) with natural or synthetic ligands",concordant,transcription factor,concordant,,not_stated,20 nt,single_source:claude,,not_stated,HT-SELEX-Seq,concordant,,not_stated
PRJNA741127,ena,"DNA Binding Specificities of Fkh1, Fkh2, Hcm1, and Fhl1 Revealed by SELEX-seq",tf_ht_selex,concordant,"Fkh1, Fkh2, Hcm1, Fhl1 (Forkhead box transcription factors from Saccharomyces cerevisiae)",concordant,transcription factor,concordant,DNA,concordant,16 bp,concordant,"round zero (R0), round one (R1) and round two (R2)",concordant,"SELEX-seq (gel shift-based, non-denaturing PAGE)",concordant,,not_stated
PRJNA786208,ena,CUT&RUN Sequencing of EZH2 binding sites in HEK293T cells expressing a Dual-specificity Aptamer that specifically increases O-GlcNAcylation on beta-catenin,not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA809588,ena,Selection of RNA aptamers against human islets by SELEX and toggle SELEX,aptamer_selection,concordant,human pancreatic islets (β cells); mouse islets (toggle SELEX),concordant,whole cells,concordant,2′-Fluoro RNA,concordant,40–44 nucleotides,concordant,eight selection cycles (HT cluster-cell SELEX); ten cycles total (Toggle SELEX: eight mouse + two human),concordant,"HT ""Cluster-cell"" SELEX; Toggle SELEX",concordant,present,concordant
PRJNA830749,ena,The use of high-affinity polyhistidine binders as masking probes for the selection of an NDM-1 specific aptamer,aptamer_selection,concordant,New Delhi metallo-β-lactamase 1 (NDM-1),concordant,protein,concordant,ssDNA,concordant,44 nt,concordant,"14 initial rounds (SR1–SR14.1), then 3 additional rounds with masking strategy (SR11.2_Mask–SR14.2_Mask)",concordant,semiautomatic SELEX using magnetic bead-based affinity capture,single_source:claude,present,concordant
PRJNA847751,ena,"A modular XNAzyme cleaves long, structured RNAs under physiological conditions and enables allele-specific gene silencing.",method_or_other,concordant,Ebola Zaire RNA (residues 16062–16101); KRAS G12D mutation RNA (re-selection),concordant,RNA substrate (for cis-cleavage),concordant,FANA (2'-deoxy-2'-fluoro-β-D-arabino nucleic acid),concordant,N40 or N20,concordant,six rounds,concordant,X-SELEX,concordant,present,single_source:claude
PRJNA847930,ena,A two-residue nascent strand steric gate controls synthesis of 2-O-methyl- and 2-O-2-methoxyethyl-RNA,method_or_other,concordant,KRAS G12D mutation mRNA,single_source:claude,RNA substrate (for cis-cleavage),single_source:claude,fully 2'-O-methyl RNA (2'OMe-RNA),single_source:claude,N40,single_source:claude,15 initial rounds; then 5 maturation rounds from a doped library,single_source:claude,X-SELEX (in vitro selection of catalytic 2'OMe-RNA XNAzymes using cis-cleavage assay),single_source:claude,,not_stated
PRJNA854957,ena,Generating experimentally unrelated target molecule binding nucleic-acid polymers using machine learning,aptamer_selection,concordant,daunomycin,concordant,small molecule,concordant,highly functionalized nucleic acid polymers (HFNAPs) — DNA templates with a 45-bp coding region containing 15 consecutive codons recruiting side-chain-functionalized trinucleotide building blocks,concordant,45 bp coding region (15 codons),single_source:claude,"9 rounds (Selection 1: rounds 1–4 then 5a–9a); 5 rounds (Selection 2: restarting from round 4, rounds 5b–8b)",single_source:claude,in vitro selection of HFNAPs using DNA-templated ligation (T3 DNA ligase); biotin capture and alkaline denaturation elution,single_source:claude,present,single_source:claude
PRJNA862494,ena,The highly conserved RNA-binding specificity of nucleocapsid protein facilitates the identification of drugs with broad anti-coronavirus activity.,aptamer_selection,adjudicated,"Nucleocapsid (N) proteins from SARS-CoV-2 variants (gamma, delta, omicron) and other β-coronaviruses (SARS-CoV, MERS-CoV, BAT-CoV); RNA-binding domains RBD1 and RBD2",concordant,protein,concordant,RNA,single_source:claude,40 nt,single_source:claude,four,single_source:claude,HTR-SELEX (high-throughput RNA-SELEX) with Ni-Sepharose resin capture of protein-RNA complexes,concordant,,not_stated
PRJNA866368,ena,Capture RIC-seq reveals positional rules of PTBP1-associated RNA loops in splicing regulation [SELEX],aptamer_selection,adjudicated,PTBP1 (polypyrimidine tract binding protein 1),single_source:claude,protein,single_source:claude,RNA (ssDNA library amplified by PCR and then transcribed in vitro to ssRNA for selection),single_source:claude,N10,single_source:claude,three,single_source:claude,"SELEX with antibody-mediated pulldown (anti-PTBP1 antibody BB7, magnetic beads)",single_source:claude,,not_stated
PRJNA86771,ena,Homo sapiens High Throughput Sequencing,aptamer_selection,adjudicated,ESRP1 (epithelial splicing regulatory protein 1),single_source:claude,protein,single_source:claude,RNA,single_source:claude,20 nt,single_source:claude,seven,single_source:claude,SELEX-Seq — RNA pool incubated with GST-Esrp1 bound to GST beads,single_source:claude,present,single_source:claude
PRJNA883192,ena,A sputum bioassay for airway eosinophilia using an eosinophil peroxidase aptamer,aptamer_selection,concordant,eosinophil peroxidase (EPX),concordant,protein,single_source:claude,ssDNA,concordant,N40,verified,15,concordant,SELEX with target (EPX) covalently immobilized on magnetic beads,concordant,,not_stated
PRJNA887057,ena,"CUT&RUN Sequencing of EZH2 binding sites in HEK293T cells expressing a Dual-specificity Aptamer that specifically increases O-GlcNAcylation on beta-catenin, when beta-catein was knocked-down",not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA887059,ena,CUT&RUN Sequencing of EZH2 binding sites in HEK293T cells expressing a Dual-specificity Aptamer that specifically increases O-GlcNAcylation on beta-catenin when O-GlcNAc transferase was inhibited,not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA905424,ena,High-Throughput Quantitative Binding Analysis of DNA Aptamers using Exonucleases,aptamer_selection,concordant,fentanyl; acetyl fentanyl; furanyl fentanyl,concordant,small molecule,single_source:claude,ssDNA,concordant,30 nt,single_source:claude,11 rounds (fentanyl); 10 rounds (acetyl fentanyl); 10 rounds (furanyl fentanyl),concordant,library-immobilized SELEX,concordant,present,single_source:claude
PRJNA911774,ena,Systematic Study of in vitro Selection Stringency Reveals How to Enrich High-Affinity Aptamers,aptamer_selection,concordant,flunixin,concordant,small molecule,concordant,ssDNA,concordant,N30,concordant,,not_stated,library-immobilized SELEX,concordant,,not_stated
PRJNA916521,ena,Antibody-Free and Fast Profiling of Transcription Factor Binding Sites Using Aptamer-Guided Chromatin Cleavage with Sequencing (AptaChC-seq),not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJNA932049,ena,"Selection, development and structural characterization of 2' FY-RNA aptamers for pyoverdine",aptamer_selection,concordant,"pyoverdine-Pf5 (PYO-Pf5), a siderophore produced by Pseudomonas protegens",concordant,small molecule (siderophore),single_source:claude,2'FY-RNA (2'-fluoropyrimidine RNA),concordant,,not_stated,nine,concordant,"SELEX (structure-switching, capture/release approach with complementary oligonucleotides)",concordant,present,concordant
PRJNA935703,ena,DNA aptamers for detection of pyoverdine pf5,aptamer_selection,concordant,"pyoverdine Pf5 (PVD-Pf5), a siderophore produced by Pseudomonas protegens Pf-5",concordant,small molecule (siderophore),single_source:claude,ssDNA,concordant,"N10 and N35 (two randomized regions, 45 nt total, in a 100-base library)",single_source:claude,ten positive selection rounds and two counter-selection rounds (twelve total),single_source:claude,structure-switching SELEX (capture/release approach with complementary oligonucleotides),concordant,present,single_source:claude
PRJNA947642,ena,A Functional Group-Guided Approach to Aptamers for Small Molecules,aptamer_selection,concordant,"multiple small molecules (amines, amino acids, and their analogs, including leucine and voriconazole)",concordant,small molecules,concordant,DNA,single_source:claude,36-mer,single_source:claude,,not_stated,Capture-SELEX variant (target-induced stem closure),adjudicated,present,single_source:claude
PRJNA952942,ena,Screening aptamer switches for ATP and glucose,method_or_other,adjudicated,glucose,concordant,small molecule,single_source:claude,boronic acid base-modified DNA,adjudicated,,not_stated,two pre-enrichment rounds + three click-PD rounds (plus one final counter-selection round),single_source:claude,click-PD (particle display with FACS sorting),single_source:claude,present,single_source:claude
PRJNA957781,ena,SELEX-seq of AP1 homodimer,tf_ht_selex,concordant,AP1 (APETALA1),concordant,transcription factor (MADS-domain protein),concordant,dsDNA,concordant,20 random nucleotides,single_source:claude,4 rounds,concordant,SELEX-seq,adjudicated,,not_stated
PRJNA975735,ena,SELEX based aptamers: An excellent diagnostic and entry inhibitor therapeutic for SARS-CoV-2,aptamer_selection,concordant,SARS-CoV-2 spike receptor binding domain (RBD) / histidine-tagged viral oligopeptide,concordant,protein (viral spike protein oligopeptide),concordant,ssDNA,concordant,N40,concordant,ten rounds,concordant,magnetic Ni-NTA bead-based SELEX,concordant,present,concordant
PRJNA990511,ena,"DNA aptamer of ASFV p30, SELEX library sequencing",aptamer_selection,concordant,ASFV p30 protein,concordant,protein (viral structural protein),concordant,ssDNA,concordant,40 nt,single_source:claude,7 rounds,concordant,MB-SELEX (magnetic bead-based SELEX),concordant,present,single_source:claude
figshare:1029831,figshare:1029831,RNA library for SELEX and RNA aptamer sequences.,aptamer_selection,concordant,glycosylated hemagglutinin HA1 (gHA1) from avian influenza virus A/wild-duck/Korea/ES/2004 (H5N2),concordant,protein (viral surface glycoprotein),concordant,RNA,concordant,40 random nucleotides,concordant,12 cycles,concordant,Ni-NTA spin trap column-based SELEX,concordant,present,single_source:claude
figshare:1057388,figshare:1057388,Support Vector Machine Classification of Streptavidin-Binding Aptamers,method_or_other,concordant,streptavidin,concordant,protein,single_source:claude,,not_stated,40 bases with a tolerance of two bases,single_source:codex,ten selection rounds (from the source dataset),concordant,SELEX selection,single_source:codex,,not_stated
figshare:1085380,figshare:1085380,Selection of ssDNA aptamers targeting DNA-bound cJun.,aptamer_selection,concordant,DNA-bound cJun homodimer (cJun/cJun on consensus AP-1 site),concordant,protein (transcription factor bound to DNA),concordant,ssDNA,concordant,40 nt,concordant,six rounds,concordant,magnetic bead-based SELEX (biotin-streptavidin immobilized AP-1 DNA:cJun complex),concordant,present,concordant
figshare:1088113,figshare:1088113,Single-Step Selection of Bivalent Aptamers Validated by Comparison with SELEX Using High-Throughput Sequencing,aptamer_selection,concordant,thrombin,concordant,protein (serine protease),single_source:claude,DNA,concordant,30 bases,concordant,five rounds,concordant,magnetic bead-based SELEX (thrombin on biotin-PEG coated beads),concordant,present,concordant
figshare:1163744,figshare:1163744,"Aptamer sequences obtained from 4<sup>th</sup>, 7<sup>th</sup> and 9<sup>th</sup> round of SELEX for SMV.",aptamer_selection,concordant,"Snow Mountain Virus (SMV) — human norovirus genogroup II, genotype 2 (GII.2)",concordant,virus (viral particles),single_source:claude,ssDNA,concordant,40 nt,concordant,nine rounds,concordant,antibody-bead based SELEX (M-280 Tosylactivated Dynabeads with anti-norovirus antibodies),concordant,present,concordant
figshare:121169,figshare:121169,"Rapid Identification of Cell-Specific, Internalizing RNA Aptamers with Bioinformatics Analyses of a Cell-Based Aptamer Selection",aptamer_selection,concordant,vascular smooth muscle cells (VSMCs; A7r5 rat cell line),concordant,whole cells (vascular smooth muscle cells),concordant,2'-fluoro pyrimidine RNA (2'-OH purines and 2'-fluoro pyrimidines),concordant,20 nucleotides,single_source:claude,eight rounds,single_source:claude,cell-internalization SELEX,concordant,present,concordant
figshare:121661,figshare:121661,A Novel Approach for Transcription Factor Analysis Using SELEX with High-Throughput Sequencing (TFAST),method_or_other,concordant,PapX (bacterial transcription factor),single_source:claude,transcription factor,single_source:claude,sheared genomic dsDNA,single_source:claude,,not_stated,"4 cycles (2-, 3-, and 4-cycle experiments tested)",single_source:claude,afSELEX-seq (aptamer-free SELEX-seq with sheared genomic DNA),concordant,,not_stated
figshare:126214,figshare:126214,DNA Aptamers against the Lup an 1 Food Allergen,aptamer_selection,concordant,β-conglutin (Lup an 1) from Lupinus albus,concordant,protein (food allergen),concordant,ssDNA,concordant,49 nucleotides,concordant,15 cycles,concordant,magnetic bead-based SELEX (β-conglutin conjugated to carboxylated magnetic beads),concordant,present,concordant
figshare:1278496,figshare:1278496,Repeat DNA sequences and number of clones from sequenced aptamer pool<sup>a</sup>.,aptamer_selection,concordant,Francisella tularensis cells,concordant,bacterial cells,single_source:claude,ssDNA,concordant,40 nucleotides,single_source:claude,11 positive SELEX iterations,concordant,cell-based SELEX,concordant,present,concordant
figshare:12850622,figshare:12850622,Development and Evaluation of Novel Aptamers Specific for Human PD1 Using Hybrid Systematic Evolution of Ligands by Exponential Enrichment Approach,aptamer_selection,concordant,human PD-1 (CD279; programmed cell death protein 1) — extracellular domain,concordant,protein (inhibitory immune checkpoint receptor); cell membrane expressed,concordant,ssDNA,concordant,,not_stated,13 protein SELEX rounds followed by 2 cell SELEX rounds,concordant,hybrid SELEX: Ni-NTI magnetic bead-based protein SELEX followed by flow cytometry-based cell SELEX,concordant,present,concordant
figshare:1286507,figshare:1286507,Sequence of monoclonal aptamers obtained at Round 21 TESA SELEx and binding to <i>T. cruzi</i> TESA preparations.,aptamer_selection,concordant,T. cruzi excreted secreted antigens (TESA),concordant,complex target,concordant,RNA with 2’-fluoro-pyrimidines,concordant,80 nucleotides,single_source:claude,Eleven additional rounds (rounds 11–21 total),concordant,SELEx,concordant,present,concordant
figshare:130054,figshare:130054,Probing the SELEX Process with Next-Generation Sequencing,aptamer_selection,concordant,streptavidin immobilized on magnetic beads,concordant,model target,concordant,DNA library,concordant,40 randomized bases,concordant,ten selection rounds,concordant,semi-automated SELEX procedure,concordant,,not_stated
figshare:131490,figshare:131490,Probing the Limits of Aptamer Affinity with a Microfluidic SELEX Platform,aptamer_selection,concordant,"platelet derived growth factor B (PDGF-BB), thrombin, and apolipoprotein E3 (ApoE)",concordant,protein,concordant,single-stranded DNA (ssDNA),concordant,60 randomized nucleotides,concordant,three rounds,concordant,M-SELEX (microfluidic SELEX),concordant,,not_stated
figshare:14057938,figshare:14057938,Selection of DNA Aptamers for Root Exudate l‑Serine Using Multiple Selection Strategies,aptamer_selection,concordant,l-serine,concordant,small molecule,concordant,DNA,concordant,,not_stated,Original SELEX: 11 rounds; Randomized SELEX: 8 rounds; Redirected SELEX: 5 rounds,single_source:claude,"SELEX (three strategies: Original SELEX, Randomized SELEX, Redirected SELEX)",concordant,present,concordant
figshare:15016342,figshare:15016342,"Competition-Enhanced Ligand Selection to Screen for
DNA Aptamers for Spherical Gold Nanoparticles",aptamer_selection,concordant,spherical gold nanoparticles (AuNPs),concordant,nanoparticles,concordant,DNA,concordant,,not_stated,,not_stated,CompELS (Competition-Enhanced Ligand Selection),concordant,,not_stated
figshare:17135972,figshare:17135972,Development and identification of candidate aptamers for growth differentiation factor 9,aptamer_selection,concordant,recombinant human GDF9 (growth differentiation factor 9),concordant,protein,concordant,ssDNA,concordant,40 nucleotides,concordant,ten rounds,concordant,Membrane-SELEX,concordant,present,concordant
figshare:17207107,figshare:17207107,"Investigating the Influences of Random-Region Length
on Aptamer Selection Efficiency Based on Capillary Electrophoresis–SELEX
and High-Throughput Sequencing",aptamer_selection,concordant,PD-L1 (programmed cell death-ligand 1) and Piezo2,concordant,protein,concordant,ssDNA,concordant,"15, 30, 40, 60 nt (for PD-L1); mixed library of 10–50 nt (for Piezo2)",concordant,one round (PD-L1); six rounds (Piezo2),concordant,CE-SELEX (capillary electrophoresis-SELEX) with high-throughput sequencing,concordant,,not_stated
figshare:17207110,figshare:17207110,"Investigating the Influences of Random-Region Length
on Aptamer Selection Efficiency Based on Capillary Electrophoresis–SELEX
and High-Throughput Sequencing",aptamer_selection,concordant,PD-L1 (programmed cell death-ligand 1) and Piezo2,concordant,protein,concordant,ssDNA,concordant,"15, 30, 40, 60 nt (for PD-L1); mixed library of 10–50 nt (for Piezo2)",concordant,one round (PD-L1); six rounds (Piezo2),concordant,CE-SELEX (capillary electrophoresis-SELEX) with high-throughput sequencing,concordant,,not_stated
figshare:19376361,figshare:19376361,"Integration of an Expression Platform in the SELEX
Cycle to Select DNA Aptamer Binding to a Disease Biomarker",aptamer_selection,concordant,L-allo-isoleucine,concordant,biomarker (amino acid / disease metabolite),concordant,ssDNA,concordant,60 nt,single_source:claude,five cycles,concordant,Expression-SELEX,concordant,present,single_source:claude
figshare:19753851,figshare:19753851,"Bio-Layer Interferometry-Based SELEX and Label-Free
Detection of Patulin Using Generated Aptamer",aptamer_selection,concordant,patulin,concordant,non-protein toxin,concordant,ssDNA,concordant,,not_stated,seven rounds,concordant,BLI-SELEX (bio-layer interferometry-based SELEX),concordant,present,single_source:claude
figshare:21158899,figshare:21158899,The Study of SELEX Methodology in the Generation of Aptamers for Environmental Contaminant Nonylphenol,aptamer_selection,concordant,nonylphenol technical equivalents (NPTE) and 4-nonylphenol (4-NP),concordant,environmental contaminant,concordant,ssDNA,concordant,40 nucleotides,concordant,seven rounds,concordant,"SELEX (modified with additional counter- and negative-selection steps, target conjugated to Sepharose beads)",concordant,present,concordant
figshare:21234387,figshare:21234387,Schematic view of the SELEX experiment and the RBM-based analysis.,method_or_other,concordant,human alpha-thrombin,concordant,protein,concordant,DNA,concordant,two loops of 20 nucleotides each (40 nt total variable region),concordant,eight selection rounds,concordant,SELEX (DNA nanotile structure),concordant,,not_stated
figshare:21234402,figshare:21234402,Sketches of the fitness and inferred landscapes.,method_or_other,concordant,human alpha-thrombin,concordant,protein,concordant,DNA,concordant,two loops of 20 nucleotides each (40 nt total variable region),concordant,eight selection rounds,concordant,SELEX (DNA nanotile structure),concordant,,not_stated
figshare:2161948,figshare:2161948,"Selection
of HBsAg-Specific DNA Aptamers Based on Carboxylated Magnetic Nanoparticles
and Their Application in the Rapid and Simple Detection of Hepatitis
B Virus Infection",aptamer_selection,concordant,hepatitis B surface antigen (HBsAg),concordant,protein (viral surface antigen),concordant,DNA,concordant,,not_stated,13 selection rounds,concordant,SELEX using carboxylated magnetic nanoparticles,concordant,,not_stated
figshare:2168464,figshare:2168464,"More DNA–Aptamers for Small Drugs: A Capture–SELEX
Coupled with Surface Plasmon Resonance and High-Throughput Sequencing",aptamer_selection,concordant,tobramycin,concordant,small drug,concordant,DNA,concordant,,not_stated,at least 8 cycles (specificity at cycle 8; HTS also shows most enriched sequences visible after 2 cycles),concordant,capture-SELEX (DNA-based),concordant,,not_stated
figshare:2169673,figshare:2169673,"Evolution of DNA Aptamers through in Vitro Metastatic-Cell-Based
Systematic Evolution of Ligands by Exponential Enrichment for Metastatic
Cancer Recognition and Imaging",aptamer_selection,concordant,colon cancer cell SW620 derived from metastatic site lymph node,concordant,cells,concordant,DNA aptamers,concordant,,not_stated,14 rounds of selection,concordant,cell-SELEX,concordant,,not_stated
figshare:2216530,figshare:2216530,"Screening
of Single-Stranded DNA (ssDNA) Aptamers
against a Zearalenone Monoclonal Antibody and Development of a ssDNA-Based
Enzyme-Linked Oligonucleotide Assay for Determination of Zearalenone
in Corn",aptamer_selection,concordant,ZEN monoclonal antibody (mAb-ZEN),concordant,protein,concordant,single-stranded DNA (ssDNA),concordant,,not_stated,15 rounds of screening,concordant,modified SELEX,concordant,,not_stated
figshare:22339771,figshare:22339771,Novel Strategies for Gold Nanoparticle Based Aptamer Selection,aptamer_selection,concordant,methamphetamine,concordant,small molecule,concordant,ssDNA,concordant,N40 and N41 (both used),adjudicated,five selection rounds,concordant,AuNP SELEX,concordant,present,concordant
figshare:2242786,figshare:2242786,"Screening
and Identification of DNA Aptamers against
T‑2 Toxin Assisted by Graphene Oxide",aptamer_selection,concordant,T-2 toxin,concordant,small-molecule toxin,concordant,ssDNA,concordant,,not_stated,10 rounds of selection,concordant,GO-SELEX,concordant,,not_stated
figshare:22770526,figshare:22770526,"Screening of a High-Affinity Aptamer for Aflatoxin
M<sub>1</sub> and Development of Its Colorimetric Aptasensor",aptamer_selection,concordant,Aflatoxin M1 (AFM1),concordant,secondary metabolite,concordant,ssDNA,concordant,20 nt + 10 nt random regions (total library 97 nt),concordant,seven rounds,concordant,GO-SELEX,concordant,present,single_source:codex
figshare:2351575,figshare:2351575,"Tracking the Emergence of High Affinity Aptamers for
rhVEGF<sub>165</sub> During Capillary Electrophoresis-Systematic Evolution
of Ligands by Exponential Enrichment Using High Throughput Sequencing",aptamer_selection,concordant,recombinant human vascular endothelial growth factor 165 (rhVEGF165),concordant,growth factor,concordant,ssDNA,concordant,,not_stated,four rounds of selection,concordant,CE-SELEX,concordant,,not_stated
